VideoFileName,Arousal,Dominance,Submission,Closeness,Novelty,Category,Interactions,Valence,Social
00229DVD.mpg,2.20,1.20,0.20,2.40,3.00,4.00,1.20,-1.80,0.00
00683DVD.mpg,1.80,2.20,0.20,2.60,2.00,2.00,1.60,-1.60,0.00
00657DVD.mpg,1.60,0.80,0.20,3.00,3.00,4.00,1.00,-1.60,0.00
00957DVD.mpg,1.40,2.20,0.20,2.20,2.80,3.00,1.40,-1.20,0.00
00653DVD.mpg,1.20,0.00,0.00,2.20,3.00,4.00,0.80,-1.20,0.00
00651DVD.mpg,1.40,0.20,0.00,2.20,3.00,4.00,1.20,-1.00,0.00
00771DVD.mpg,1.20,0.00,0.00,1.60,3.00,4.00,0.00,-1.00,0.00
01436DVD.mpg,1.00,1.60,0.60,2.20,0.00,5.00,1.80,-1.00,0.00
00720DVD.mpg,1.40,1.40,0.00,2.60,2.20,3.00,1.80,-0.80,0.00
00568DVD.mpg,0.80,0.00,0.00,0.80,0.40,5.00,0.60,-0.80,0.00
00230DVD.mpg,1.00,0.20,0.00,1.80,3.00,4.00,0.40,-0.80,0.00
01413DVD.mpg,1.00,0.80,0.40,2.80,0.40,5.00,2.20,-0.80,0.00
00655DVD.mpg,0.80,0.40,0.00,2.40,2.80,4.00,0.80,-0.80,0.00
01422DVD.mpg,1.20,0.60,0.40,2.80,0.80,5.00,2.20,-0.80,0.00
00437DVD.mpg,1.20,0.00,0.00,2.80,2.60,2.00,0.20,-0.80,0.00
00752DVD.mpg,1.40,0.20,0.00,2.40,3.00,4.00,1.00,-0.80,0.00
01064DVD.mpg,1.00,1.40,0.60,3.00,2.80,2.00,1.40,-0.80,0.00
00756DVD.mpg,1.40,0.20,0.00,2.40,3.00,4.00,0.80,-0.80,0.00
00575DVD.mpg,1.00,0.60,0.20,2.00,2.60,3.00,0.60,-0.60,0.00
00758DVD.mpg,0.60,0.00,0.00,1.60,3.00,4.00,0.40,-0.60,0.00
00847DVD.mpg,0.40,0.00,0.00,2.60,0.00,5.00,1.00,-0.60,0.00
00624DVD.mpg,1.20,0.40,0.20,1.80,2.80,4.00,1.00,-0.60,0.00
01044DVD.mpg,0.80,0.00,0.00,2.80,3.00,4.00,1.40,-0.60,0.00
01073DVD.mpg,1.20,0.00,0.00,2.60,2.00,5.00,0.80,-0.60,0.00
00658DVD.mpg,0.40,0.40,0.00,1.00,2.80,4.00,0.40,-0.60,0.00
00353DVD.mpg,1.00,0.00,0.00,0.00,2.40,5.00,0.00,-0.60,0.00
01268DVD.mpg,0.40,0.40,0.00,-0.20,-0.80,5.00,0.40,-0.60,0.00
00382DVD.mpg,0.80,0.00,0.00,0.00,2.40,3.00,0.00,-0.60,0.00
00753DVD.mpg,1.60,0.20,0.20,2.60,3.00,4.00,1.00,-0.60,0.00
00393DVD.mpg,1.20,0.40,0.20,1.80,3.00,5.00,1.20,-0.60,0.00
01275DVD.mpg,0.40,0.00,0.00,0.00,-1.00,5.00,0.00,-0.60,0.00
00574DVD.mpg,1.00,1.20,0.00,2.40,2.40,3.00,1.20,-0.60,0.00
00754DVD.mpg,1.20,0.40,0.00,2.40,3.00,4.00,1.00,-0.60,0.00
00712DVD.mpg,0.80,0.00,0.00,2.40,0.00,5.00,0.60,-0.60,0.00
00634DVD.mpg,0.60,0.00,0.00,0.00,2.20,1.00,0.00,-0.40,0.00
00560DVD.mpg,0.60,0.00,0.00,0.00,1.20,3.00,0.00,-0.40,0.00
00224DVD.mpg,1.00,0.00,0.00,1.40,3.00,4.00,0.40,-0.40,0.00
00654DVD.mpg,0.40,0.00,0.00,1.60,3.00,4.00,0.20,-0.40,0.00
00711DVD.mpg,0.40,0.00,0.00,2.20,0.00,5.00,0.60,-0.40,0.00
01388DVD.mpg,0.80,1.00,0.40,2.80,1.00,5.00,1.00,-0.40,0.00
00182DVD.mpg,0.20,0.00,0.00,2.40,2.60,2.00,1.00,-0.40,0.00
00845DVD.mpg,0.60,0.00,0.00,1.20,0.80,3.00,0.20,-0.40,0.00
00397DVD.mpg,1.00,0.00,0.00,1.40,2.20,4.00,0.40,-0.40,0.00
00759DVD.mpg,0.60,0.00,0.00,1.80,3.00,4.00,0.80,-0.40,0.00
00787DVD.mpg,0.40,0.00,0.00,1.40,2.60,5.00,0.60,-0.40,0.00
00221DVD.mpg,1.40,0.00,0.00,-0.40,1.60,2.00,0.00,-0.40,0.00
01043DVD.mpg,0.60,0.00,0.00,0.00,3.00,3.00,0.00,-0.40,0.00
00613DVD.mpg,0.60,0.00,0.00,0.20,2.80,4.00,0.00,-0.40,0.00
00768DVD.mpg,0.60,0.00,0.00,1.60,3.00,4.00,0.40,-0.40,0.00
00788DVD.mpg,0.40,0.00,0.00,1.20,2.60,5.00,0.60,-0.40,0.00
00429DVD.mpg,1.00,0.00,0.00,2.00,2.60,3.00,0.20,-0.40,0.00
01052DVD.mpg,0.20,0.00,0.00,0.00,2.20,3.00,0.20,-0.40,0.00
00638DVD.mpg,1.20,0.00,0.00,2.80,3.00,4.00,0.40,-0.40,0.00
00810DVD.mpg,0.80,0.00,0.00,2.20,3.00,4.00,1.20,-0.40,0.00
00803DVD.mpg,0.60,0.00,0.00,0.00,3.00,5.00,0.00,-0.40,0.00
00262DVD.mpg,0.40,0.00,0.00,0.00,1.80,1.00,0.00,-0.40,0.00
00486DVD.mpg,0.80,0.00,0.00,1.40,2.40,3.00,0.80,-0.40,0.00
01500DVD.mpg,0.60,0.00,0.00,0.00,2.20,3.00,0.00,-0.40,0.00
00649DVD.mpg,1.00,0.00,0.00,2.00,2.80,4.00,0.80,-0.40,0.00
00821DVD.mpg,0.80,0.00,0.00,2.00,3.00,4.00,0.80,-0.40,0.00
00838DVD.mpg,0.20,0.20,0.00,1.40,2.20,5.00,0.80,-0.40,0.00
00633DVD.mpg,0.60,0.00,0.00,0.00,2.00,1.00,0.00,-0.20,0.00
00443DVD.mpg,0.40,0.00,0.00,2.60,1.20,2.00,0.00,-0.20,0.00
01014DVD.mpg,0.20,0.00,0.00,3.00,2.80,2.00,1.00,-0.20,0.00
00453DVD.mpg,0.40,0.00,0.00,1.60,2.60,3.00,0.20,-0.20,0.00
00563DVD.mpg,0.60,0.00,0.00,0.00,1.60,3.00,0.00,-0.20,0.00
01068DVD.mpg,0.20,0.00,0.00,1.40,2.60,3.00,0.40,-0.20,0.00
00606DVD.mpg,0.80,0.40,0.00,1.20,3.00,4.00,0.80,-0.20,0.00
00825DVD.mpg,0.80,0.20,0.00,1.40,3.00,4.00,0.60,-0.20,0.00
01105DVD.mpg,0.60,0.00,0.00,0.00,1.60,5.00,0.00,-0.20,0.00
01207DVD.mpg,0.20,0.00,0.00,0.00,-0.20,5.00,0.00,-0.20,0.00
00232DVD.mpg,0.60,0.00,0.00,0.00,1.20,1.00,0.00,-0.20,0.00
00792DVD.mpg,-0.20,0.00,0.00,0.00,1.80,1.00,0.00,-0.20,0.00
00510DVD.mpg,0.80,0.00,0.00,0.00,2.00,2.00,0.00,-0.20,0.00
01061DVD.mpg,0.40,0.00,0.00,3.00,2.80,2.00,1.40,-0.20,0.00
00463DVD.mpg,0.40,0.00,0.00,1.60,1.60,3.00,0.00,-0.20,0.00
00932DVD.mpg,0.40,0.00,0.00,1.40,2.00,3.00,0.20,-0.20,0.00
01478DVD.mpg,0.40,0.20,0.00,0.00,-1.00,3.00,0.00,-0.20,0.00
00618DVD.mpg,0.60,0.00,0.00,1.60,3.00,4.00,0.20,-0.20,0.00
00892DVD.mpg,0.60,0.00,0.00,1.60,2.80,4.00,0.60,-0.20,0.00
01111DVD.mpg,0.00,0.20,0.20,3.00,0.40,5.00,1.40,-0.20,0.00
01303DVD.mpg,0.00,0.00,0.00,0.60,-0.40,5.00,0.20,-0.20,0.00
00346DVD.mpg,0.60,0.00,0.00,0.00,1.20,1.00,0.00,-0.20,0.00
00903DVD.mpg,0.20,0.00,0.00,0.00,1.80,1.00,0.00,-0.20,0.00
00512DVD.mpg,1.00,0.00,0.00,0.00,2.40,2.00,0.00,-0.20,0.00
01501DVD.mpg,0.40,0.00,0.00,0.00,2.80,2.00,0.00,-0.20,0.00
00471DVD.mpg,0.00,0.00,0.00,0.00,2.20,3.00,0.00,-0.20,0.00
00952DVD.mpg,0.40,0.00,0.00,0.00,1.60,3.00,0.00,-0.20,0.00
00402DVD.mpg,1.20,0.00,0.00,2.40,2.80,4.00,1.80,-0.20,0.00
00635DVD.mpg,0.40,0.00,0.00,2.80,2.40,4.00,0.40,-0.20,0.00
01002DVD.mpg,0.80,0.00,0.00,1.40,3.00,4.00,0.40,-0.20,0.00
01113DVD.mpg,0.20,0.20,0.20,3.00,1.20,5.00,1.40,-0.20,0.00
01425DVD.mpg,0.20,0.00,0.00,2.40,0.20,5.00,1.40,-0.20,0.00
00472DVD.mpg,0.00,0.00,0.00,0.00,-0.60,1.00,0.00,-0.20,0.00
01493DVD.mpg,0.00,0.00,0.00,0.00,-2.20,1.00,0.00,-0.20,0.00
00514DVD.mpg,1.00,0.00,0.00,2.00,1.60,2.00,1.40,-0.20,0.00
00237DVD.mpg,1.20,0.00,0.00,1.80,2.60,3.00,0.60,-0.20,0.00
00476DVD.mpg,0.60,0.00,0.00,0.80,2.00,3.00,0.40,-0.20,0.00
01039DVD.mpg,0.60,0.00,0.00,0.00,2.60,3.00,0.00,-0.20,0.00
00403DVD.mpg,0.40,0.00,0.00,0.00,1.60,4.00,0.00,-0.20,0.00
00636DVD.mpg,0.60,0.00,0.00,3.00,2.80,4.00,0.40,-0.20,0.00
00793DVD.mpg,0.20,0.00,0.00,2.40,2.80,5.00,0.40,-0.20,0.00
01172DVD.mpg,0.20,0.20,0.20,2.40,-0.60,5.00,1.20,-0.20,0.00
01462DVD.mpg,0.40,0.00,0.00,1.80,1.60,5.00,0.80,-0.20,0.00
00549DVD.mpg,0.40,0.00,0.00,0.40,2.40,1.00,0.00,-0.20,0.00
00423DVD.mpg,1.00,0.00,0.00,2.60,2.00,2.00,0.20,-0.20,0.00
01007DVD.mpg,0.60,0.00,0.00,2.60,2.60,2.00,1.40,-0.20,0.00
00256DVD.mpg,0.60,0.20,0.20,2.20,2.80,3.00,1.60,-0.20,0.00
00561DVD.mpg,1.00,0.00,0.00,1.00,2.40,3.00,0.20,-0.20,0.00
01040DVD.mpg,0.60,0.00,0.00,0.00,2.80,3.00,0.00,-0.20,0.00
00595DVD.mpg,0.00,0.00,0.00,2.20,3.00,4.00,1.00,-0.20,0.00
00673DVD.mpg,0.60,0.00,0.00,2.40,3.00,4.00,0.80,-0.20,0.00
00794DVD.mpg,-0.20,0.00,0.00,0.60,2.00,5.00,0.20,-0.20,0.00
01196DVD.mpg,0.00,0.00,0.00,0.20,0.60,5.00,0.20,-0.20,0.00
00194DVD.mpg,0.00,0.00,0.00,0.00,1.80,1.00,0.00,0.00,0.00
00297DVD.mpg,0.00,0.00,0.00,0.00,1.60,1.00,0.00,0.00,0.00
00350DVD.mpg,-0.20,0.00,0.00,0.00,1.20,1.00,0.00,0.00,0.00
00481DVD.mpg,-0.40,0.00,0.00,0.00,1.40,1.00,0.00,0.00,0.00
00536DVD.mpg,0.00,0.00,0.00,0.00,0.20,1.00,0.00,0.00,0.00
00641DVD.mpg,-0.60,0.00,0.00,0.00,1.80,1.00,0.00,0.00,0.00
00733DVD.mpg,-0.20,0.00,0.00,0.00,-1.60,1.00,0.00,0.00,0.00
00893DVD.mpg,-0.20,0.00,0.00,0.00,-0.20,1.00,0.00,0.00,0.00
00938DVD.mpg,0.00,0.00,0.00,0.00,1.60,1.00,0.00,0.00,0.00
01460DVD.mpg,0.00,0.00,0.00,0.00,1.60,1.00,0.00,0.00,0.00
01487DVD.mpg,0.00,0.00,0.00,0.00,-2.20,1.00,0.00,0.00,0.00
00216DVD.mpg,0.60,0.00,0.00,0.20,-0.20,2.00,0.00,0.00,0.00
00511DVD.mpg,1.00,0.00,0.00,0.00,2.20,2.00,0.00,0.00,0.00
00812DVD.mpg,0.00,0.00,0.00,0.20,0.60,2.00,0.20,0.00,0.00
01009DVD.mpg,0.40,0.00,0.00,2.20,2.80,2.00,0.80,0.00,0.00
01484DVD.mpg,0.00,0.00,0.00,2.00,-1.80,2.00,0.20,0.00,0.00
01504DVD.mpg,0.00,0.00,0.00,1.60,2.40,2.00,0.60,0.00,0.00
00192DVD.mpg,0.40,0.00,0.00,0.00,2.40,3.00,0.20,0.00,0.00
00332DVD.mpg,-0.40,0.00,0.00,1.00,1.20,3.00,0.40,0.00,0.00
00908DVD.mpg,0.40,0.00,0.00,2.00,2.40,3.00,0.20,0.00,0.00
00931DVD.mpg,0.60,0.00,0.00,2.00,2.40,3.00,0.80,0.00,0.00
01479DVD.mpg,-0.40,0.00,0.00,0.00,-1.00,3.00,0.00,0.00,0.00
00597DVD.mpg,-0.20,0.00,0.00,1.80,3.00,4.00,0.60,0.00,0.00
00763DVD.mpg,0.40,0.00,0.00,1.00,3.00,4.00,0.80,0.00,0.00
00829DVD.mpg,0.40,0.00,0.00,1.60,2.80,4.00,0.40,0.00,0.00
00839DVD.mpg,0.00,0.00,0.00,0.00,0.60,5.00,0.00,0.00,0.00
01181DVD.mpg,0.00,0.00,0.00,0.00,-1.40,5.00,0.00,0.00,0.00
01241DVD.mpg,0.00,0.00,0.00,-0.20,-0.40,5.00,0.00,0.00,0.00
00202DVD.mpg,0.00,0.00,0.00,0.00,0.80,1.00,0.00,0.00,0.00
00301DVD.mpg,-0.20,0.00,0.00,0.00,1.60,1.00,0.00,0.00,0.00
00396DVD.mpg,-0.20,0.00,0.00,0.00,1.60,1.00,0.00,0.00,0.00
00502DVD.mpg,0.00,0.00,0.00,0.00,0.40,1.00,0.00,0.00,0.00
00537DVD.mpg,0.20,0.00,0.00,0.00,0.40,1.00,0.00,0.00,0.00
00685DVD.mpg,0.00,0.00,0.00,0.00,0.40,1.00,0.00,0.00,0.00
00798DVD.mpg,-0.20,0.00,0.00,0.00,1.60,1.00,0.00,0.00,0.00
00894DVD.mpg,0.00,0.00,0.00,0.00,-0.20,1.00,0.00,0.00,0.00
00940DVD.mpg,0.00,0.00,0.00,0.00,0.80,1.00,0.00,0.00,0.00
01476DVD.mpg,0.40,0.00,0.00,0.00,2.40,1.00,0.00,0.00,0.00
01489DVD.mpg,-0.20,0.00,0.00,0.00,-3.00,1.00,0.00,0.00,0.00
00422DVD.mpg,0.20,0.00,0.00,1.00,1.60,2.00,0.00,0.00,0.00
00627DVD.mpg,-0.20,0.00,0.00,2.20,1.80,2.00,0.20,0.00,0.00
00813DVD.mpg,-0.20,0.00,0.00,0.80,0.00,2.00,0.20,0.00,0.00
01037DVD.mpg,0.40,0.00,0.00,1.80,-0.20,2.00,0.40,0.00,0.00
01494DVD.mpg,0.00,0.00,0.00,1.00,-2.80,2.00,0.20,0.00,0.00
01505DVD.mpg,0.20,0.00,0.00,0.00,-0.60,2.00,0.00,0.00,0.00
00238DVD.mpg,0.40,0.00,0.00,1.60,2.60,3.00,0.80,0.00,0.00
00364DVD.mpg,0.40,0.00,0.00,0.80,2.00,3.00,0.00,0.00,0.00
00909DVD.mpg,0.20,0.00,0.00,1.80,2.60,3.00,0.00,0.00,0.00
00939DVD.mpg,0.00,0.00,0.00,0.00,1.60,3.00,0.00,0.00,0.00
01480DVD.mpg,-0.20,0.20,0.00,0.00,-1.00,3.00,0.00,0.00,0.00
00619DVD.mpg,0.60,0.00,0.00,1.80,3.00,4.00,0.20,0.00,0.00
00808DVD.mpg,0.60,0.00,0.00,1.40,3.00,4.00,0.20,0.00,0.00
00830DVD.mpg,0.20,0.00,0.00,0.80,2.80,4.00,0.00,0.00,0.00
00982DVD.mpg,0.60,0.00,0.00,2.40,-0.40,5.00,0.60,0.00,0.00
01205DVD.mpg,0.20,0.00,0.00,0.00,-0.20,5.00,0.00,0.00,0.00
01327DVD.mpg,0.00,0.00,0.00,0.00,-0.60,5.00,0.00,0.00,0.00
00204DVD.mpg,-0.20,0.00,0.00,0.00,1.60,1.00,0.00,0.00,0.00
00303DVD.mpg,0.00,0.00,0.00,0.00,1.60,1.00,0.00,0.00,0.00
00405DVD.mpg,0.60,0.00,0.00,0.00,1.60,1.00,0.00,0.00,0.00
00516DVD.mpg,-0.20,0.00,0.00,0.00,0.40,1.00,0.00,0.00,0.00
00552DVD.mpg,0.40,0.00,0.00,0.60,1.80,1.00,0.00,0.00,0.00
00686DVD.mpg,0.00,0.00,0.00,0.00,-1.40,1.00,0.00,0.00,0.00
00840DVD.mpg,0.00,0.00,0.00,0.00,1.20,1.00,0.00,0.00,0.00
00916DVD.mpg,0.00,0.00,0.00,0.00,1.40,1.00,0.00,0.00,0.00
00976DVD.mpg,0.00,0.00,0.00,0.00,-0.40,1.00,0.00,0.00,0.00
01477DVD.mpg,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00
01491DVD.mpg,0.20,0.00,0.00,0.00,-2.80,1.00,0.00,0.00,0.00
00424DVD.mpg,0.80,0.00,0.00,2.20,1.80,2.00,0.00,0.00,0.00
00628DVD.mpg,-0.40,0.00,0.00,0.60,1.40,2.00,0.00,0.00,0.00
00814DVD.mpg,0.40,0.00,0.00,2.20,0.20,2.00,1.20,0.00,0.00
01474DVD.mpg,0.00,0.00,0.00,1.00,-1.60,2.00,0.00,0.00,0.00
01498DVD.mpg,0.20,0.00,0.00,2.40,-0.60,2.00,0.20,0.00,0.00
01506DVD.mpg,0.40,0.00,0.00,0.00,-0.80,2.00,0.00,0.00,0.00
00291DVD.mpg,-0.20,0.00,0.00,0.00,1.80,3.00,0.00,0.00,0.00
00475DVD.mpg,1.20,0.00,0.00,2.00,2.40,3.00,0.60,0.00,0.00
00913DVD.mpg,0.80,0.40,0.20,0.60,2.00,3.00,0.20,0.00,0.00
00948DVD.mpg,0.20,0.00,0.00,0.00,1.20,3.00,0.00,0.00,0.00
01502DVD.mpg,-0.20,0.00,0.00,0.40,2.60,3.00,0.00,0.00,0.00
00623DVD.mpg,0.80,0.00,0.00,1.40,2.80,4.00,0.20,0.00,0.00
00809DVD.mpg,0.80,0.00,0.00,2.60,3.00,4.00,0.60,0.00,0.00
01001DVD.mpg,0.40,0.00,0.00,2.00,2.80,4.00,0.60,0.00,0.00
01082DVD.mpg,0.00,0.00,0.00,0.00,0.60,5.00,0.00,0.00,0.00
01215DVD.mpg,0.40,0.60,0.40,2.80,-0.20,5.00,1.20,0.00,0.00
01328DVD.mpg,0.00,0.00,0.00,0.00,-1.00,5.00,0.00,0.00,0.00
00233DVD.mpg,0.60,0.00,0.00,0.00,1.80,1.00,0.00,0.00,0.00
00318DVD.mpg,-0.20,0.00,0.00,0.00,1.80,1.00,0.00,0.00,0.00
00406DVD.mpg,-0.20,0.00,0.00,0.00,1.40,1.00,0.00,0.00,0.00
00519DVD.mpg,0.20,0.00,0.00,0.00,1.20,1.00,0.00,0.00,0.00
00600DVD.mpg,-0.60,0.00,0.00,0.00,2.20,1.00,0.00,0.00,0.00
00696DVD.mpg,0.00,0.00,0.00,0.20,-1.20,1.00,0.00,0.00,0.00
00843DVD.mpg,0.00,0.00,0.00,0.00,0.60,1.00,0.00,0.00,0.00
00921DVD.mpg,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00
00980DVD.mpg,0.00,0.00,0.00,0.00,-1.60,1.00,0.00,0.00,0.00
01482DVD.mpg,-0.20,0.00,0.00,0.00,-2.60,1.00,0.00,0.00,0.00
01492DVD.mpg,0.00,0.00,0.00,0.00,-1.20,1.00,0.00,0.00,0.00
00442DVD.mpg,0.00,0.00,0.00,1.00,1.80,2.00,0.00,0.00,0.00
00661DVD.mpg,1.00,0.00,0.00,2.80,2.40,2.00,1.60,0.00,0.00
00991DVD.mpg,0.60,0.00,0.00,2.00,2.80,2.00,0.40,0.00,0.00
01475DVD.mpg,0.00,0.00,0.00,-0.60,-2.00,2.00,0.00,0.00,0.00
01499DVD.mpg,0.00,0.00,0.00,1.60,-0.60,2.00,0.20,0.00,0.00
